GL_ID,date,year,month,GPM_Precipitation_mm,GPM_Scan_Count
GL086897E27886N,2021-08,2021,8,290.9045307990163,1488
GL086897E27886N,2021-09,2021,9,151.61979620042257,1440
GL086897E27886N,2021-10,2021,10,151.38991562501755,1488
GL086897E27886N,2021-11,2021,11,5.56959986569127,1440
GL086897E27886N,2021-12,2021,12,9.154099813359789,1488
GL086897E27886N,2022-01,2022,1,3.5020874416455623,1488
GL086897E27886N,2022-02,2022,2,20.39490566435269,1344
GL086897E27886N,2022-03,2022,3,39.390436462266365,1488
GL086897E27886N,2022-04,2022,4,50.58470517188543,1440
GL086897E27886N,2022-05,2022,5,106.04202862387756,1488
GL086897E27886N,2022-06,2022,6,222.04639478980096,1440
GL086897E27886N,2022-07,2022,7,272.2729504240677,1488
GL086897E27886N,2022-08,2022,8,208.9437145742937,1488
GL086897E27886N,2022-09,2022,9,168.82095868808682,1440
GL086897E27886N,2022-10,2022,10,78.74976679068057,1488
GL086897E27886N,2022-11,2022,11,2.078293727349956,1440
GL086897E27886N,2022-12,2022,12,5.194187368592247,1488
GL086897E27886N,2023-01,2023,1,7.190968592814167,1488
GL086897E27886N,2023-02,2023,2,7.77753101440612,1344
GL086897E27886N,2023-03,2023,3,48.98036108799278,1488
GL086897E27886N,2023-04,2023,4,39.55970501725096,1440
GL086897E27886N,2023-05,2023,5,42.35156158205354,1488
GL086897E27886N,2023-06,2023,6,115.9801284791436,1440
GL086897E27886N,2023-07,2023,7,303.4642614665208,1488
GL086897E27886N,2023-08,2023,8,340.8043482838315,1488
GL086897E27886N,2023-09,2023,9,135.55780952385393,1440
GL086897E27886N,2023-10,2023,10,59.11237339988583,1488
GL086897E27886N,2023-11,2023,11,6.0482498112367455,1440
GL086897E27886N,2023-12,2023,12,12.199562229774893,1488
GL086897E27886N,2024-01,2024,1,6.316562407917808,1488
GL086897E27886N,2024-02,2024,2,17.718687097716607,1392
GL086897E27886N,2024-03,2024,3,28.835624509013723,1488
GL086897E27886N,2024-04,2024,4,25.07549918566364,1440
GL086897E27886N,2024-05,2024,5,83.09881037634331,1488
GL086897E27886N,2024-06,2024,6,134.86455920301375,1440
GL086897E27886N,2024-07,2024,7,336.17930408236566,1488
GL086897E27886N,2024-08,2024,8,241.78549392161656,1488
GL086897E27886N,2024-09,2024,9,284.1261798032559,1440
GL086897E27886N,2024-10,2024,10,58.5863110783277,1488
GL086897E27886N,2024-11,2024,11,7.072687320457772,1440
GL086897E27886N,2024-12,2024,12,5.310374880617018,1488
GL086897E27886N,2025-01,2025,1,8.042874769563785,1488
GL086897E27886N,2025-02,2025,2,9.192249727202578,1344
GL086897E27886N,2025-03,2025,3,21.65681192051852,1488
GL086897E27886N,2025-04,2025,4,46.129061572416674,1440
GL086897E27886N,2025-05,2025,5,75.07693587793037,1488
GL086897E27886N,2025-06,2025,6,206.6256199259544,1440
GL086897E27886N,2025-07,2025,7,263.8173063747351,1488
GL086897E27886N,2025-08,2025,8,239.36561947482403,1488
GL086897E27886N,2025-09,2025,9,187.4908082692301,1440
GL086897E27886N,2025-10,2025,10,181.50618307002583,1488
GL086897E27886N,2025-11,2025,11,0.4059999952558427,1440
GL086897E27886N,2025-12,2025,12,8.432999842870048,1488
GL086900E27724N,2015-01,2015,1,27.62624933989719,1488
GL086900E27724N,2015-02,2015,2,16.61449955310672,1344
GL086900E27724N,2015-03,2015,3,67.52299840841442,1488
GL086900E27724N,2015-04,2015,4,84.50099803926423,1440
GL086900E27724N,2015-05,2015,5,104.70799781987442,1488
GL086900E27724N,2015-06,2015,6,245.2474935199133,1440
GL086900E27724N,2015-07,2015,7,282.88399368245155,1488
GL086900E27724N,2015-08,2015,8,349.99499161401764,1488
GL086900E27724N,2015-09,2015,9,167.65399639494717,1440
GL086900E27724N,2015-10,2015,10,47.98224895074964,1488
GL086900E27724N,2015-11,2015,11,8.108249805169178,1440
GL086900E27724N,2015-12,2015,12,1.138249969953904,1488
GL086900E27724N,2016-01,2016,1,14.049499644432217,1488
GL086900E27724N,2016-02,2016,2,12.108749645762146,1392
GL086900E27724N,2016-03,2016,3,47.321998678613454,1488
GL086900E27724N,2016-04,2016,4,51.87099874624983,1440
GL086900E27724N,2016-05,2016,5,148.2797468509525,1488
GL086900E27724N,2016-06,2016,6,332.7859918503092,1440
GL086900E27724N,2016-07,2016,7,375.7487412141636,1488
GL086900E27724N,2016-08,2016,8,237.4297445635312,1488
GL086900E27724N,2016-09,2016,9,358.72399156074977,1440
GL086900E27724N,2016-10,2016,10,76.01599825639278,1488
GL086900E27724N,2016-11,2016,11,3.658249876374612,1440
GL086900E27724N,2016-12,2016,12,2.890499928442296,1488
GL086900E27724N,2017-01,2017,1,11.902999600861222,1488
GL086900E27724N,2017-02,2017,2,19.161249474156648,1344
GL086900E27724N,2017-03,2017,3,57.53374877339229,1488
GL086900E27724N,2017-04,2017,4,62.94624854857103,1440
GL086900E27724N,2017-05,2017,5,137.81249698996544,1488
GL086900E27724N,2017-06,2017,6,183.304495442193,1440
GL086900E27724N,2017-07,2017,7,322.8767428644933,1488
GL086900E27724N,2017-08,2017,8,360.2719920161181,1488
GL086900E27724N,2017-09,2017,9,187.157995945774,1440
GL086900E27724N,2017-10,2017,10,118.3672473039478,1488
GL086900E27724N,2017-11,2017,11,9.476499805692583,1440
GL086900E27724N,2017-12,2017,12,5.956749843899161,1488
GL086900E27724N,2018-01,2018,1,8.372999807586893,1488
GL086900E27724N,2018-02,2018,2,12.706999680493023,1344
GL086900E27724N,2018-03,2018,3,26.167749366723,1488
GL086900E27724N,2018-04,2018,4,92.7844976899214,1440
GL086900E27724N,2018-05,2018,5,145.85824652109292,1488
GL086900E27724N,2018-06,2018,6,153.23124656174332,1440
GL086900E27724N,2018-07,2018,7,305.445242063608,1488
GL086900E27724N,2018-08,2018,8,287.5457431515679,1488
GL086900E27724N,2018-09,2018,9,215.20374488318345,1440
GL086900E27724N,2018-10,2018,10,52.35499877901748,1488
